switch@Mac-mini-di-switch ~ % lsof -i -P -n | grep LISTEN
SwitchAna   265 switch   17u  IPv4 0x21927a31c80d606e      0t0  TCP 127.0.0.1:55094 (LISTEN)
SwitchEnv   267 switch   33u  IPv4 0x2e756b0d88f0cfd5      0t0  TCP *:51120 (LISTEN)
node        269 switch   21u  IPv4 0x25168c5b1554df86      0t0  TCP 127.0.0.1:55095 (LISTEN)
node        271 switch   23u  IPv4 0x7183fd399b134b37      0t0  TCP 127.0.0.1:55093 (LISTEN)
node        273 switch   24u  IPv4  0x41abdf44409f10e      0t0  TCP 127.0.0.1:55092 (LISTEN)
node        275 switch   20u  IPv6 0x9ad82f59b79891e3      0t0  TCP *:51089 (LISTEN)
node        277 switch   27u  IPv6 0x983f55e0118003c2      0t0  TCP *:51088 (LISTEN)
Switch_Se   279 switch   80u  IPv4 0xeab88d88e13ff401      0t0  TCP *:51007 (LISTEN)
Switch_Se   279 switch   85u  IPv4 0x8e8cded9b8c88a4e      0t0  TCP 127.0.0.1:51087 (LISTEN)
mongod      281 switch    9u  IPv4 0x84e7eaba25fc6f3c      0t0  TCP 127.0.0.1:55091 (LISTEN)
SwitchHTT   283 switch   12u  IPv4 0x4fbe1b3e5cd444a9      0t0  TCP *:51080 (LISTEN)
rapportd    424 switch    8u  IPv4 0xb9fbddc31adbd929      0t0  TCP *:49173 (LISTEN)
rapportd    424 switch    9u  IPv6 0xe18b531692654b30      0t0  TCP *:49173 (LISTEN)
AdobeReso   615 switch   10u  IPv4 0x5cd08742685add5f      0t0  TCP 127.0.0.1:19292 (LISTEN)
ARDAgent    698 switch    9u  IPv6 0xf2521ddfaec837fc      0t0  TCP *:3283 (LISTEN)
SwitchWat   748 switch    4u  IPv4 0xe404b8a55ef8f15f      0t0  TCP 127.0.0.1:51057 (LISTEN)
Adobe\x20   885 switch   17u  IPv4 0xdd0fc745167e084c      0t0  TCP 127.0.0.1:15292 (LISTEN)
Adobe\x20   885 switch   45u  IPv4 0xa526eddb0a59e3e4      0t0  TCP 127.0.0.1:15393 (LISTEN)
Adobe\x20   885 switch   48u  IPv4 0xa0584f1eef6768e0      0t0  TCP 127.0.0.1:16494 (LISTEN)
Dropbox   42432 switch  124u  IPv4 0x3ef119a9d55fb9c0      0t0  TCP *:17500 (LISTEN)
Dropbox   42432 switch  125u  IPv6 0x5231df2bbc124d93      0t0  TCP *:17500 (LISTEN)
Dropbox   42432 switch  134u  IPv4 0x2d701383be0ad235      0t0  TCP 127.0.0.1:17600 (LISTEN)
Dropbox   42432 switch  183u  IPv4 0x52981801f96c5e9b      0t0  TCP 127.0.0.1:17603 (LISTEN)
Adobe\x20 83069 switch   73u  IPv4 0x88d3d8791105c246      0t0  TCP 127.0.0.1:9917 (LISTEN)
